Paper title,Abstract summary,Authors,Journal,Influential citations,Scimago Journal Rank,DOI,PDF,Year,Citations,DOI URL,Semantic Scholar URL,Abstract,Takeaway suggests yes/no,Study type,Number of participants,Intervention,Outcomes measured
AB035. Thalassemia in Vietnam,Thalassemia is a common inherited hemoglobin disorder in Vietnam.,H. N. Nguyen,,,,10.3978/J.ISSN.2305-5839.2015.AB035,,2015,1,https://doi.org/10.3978/J.ISSN.2305-5839.2015.AB035,https://semanticscholar.org/paper/ebae969a5ff134ffd9c8aa58d2b31fa5d98e5fa5,"Thalassemia is a common inherited hemoglobin disorder in Vietnam. The alpha thalassemia, beta thalassemia, and HbE are popular in Vietnam but its variance depends on ethnics. The research for frequency of some ethnics almost in electrophoresis includes: Kinh (beta thalassemia carrier 1.49%, HbE 1.24%), Muong (beta thalassemia carrier 10.7%, HbE 11.7%), Tay (beta thalassemia carrier 11%, HbE 1%). In the recent years, we have conducted researches on thalassemia gene in the Northern and Southern areas of Vietnam. The two researches on beta thalassemia conducted at National Hospital of Pediatrics were Cd17 (33.8%), Cd41/42 (29.4%) following are HbE (19.1%), Cd 71/72 (7.3%), -28 (5.9%), IVS 2-625 (1.5%), IVS 1-5 (1.5%), IVS 1-1 (1.5%). In Vietnam, we have a thalassemia centre at the National Institute of Hematology and Blood Transfusion and several outpatient clinics at National Hospital of Pediatrics, Children No. 1 Hospital, Blood Transfusion and Hematology Hospital Ho Chi Minh city, Central Hue Hospital. In provincial hospitals, we have transfusion service but very variance. That the number of patients with thalassemia requires regular blood transfusion has been increasing results in big shortage of blood supply. At Department of Clinical Hematology-NHP, we provide patients with screening for HIV, HCV and HBV in every 6 months. Patients were done antibody screening test. Deferoxamine, deferiprone and deferasirox are currently used but in short supply. We are facing the difficulty that almost hospitals in Vietnam lack the drug which is unique for each type of chelation. We have to apply ferritin level to follow the chelation effective and MRI to measure iron overload in patients’ liver and heart. We are only able to provide SCT for the modest number of patients with thalassemia. In almost cases, we used sibling donor in SCT for patients with thalassemia. Regarding prevention service, we offer genetic counseling and prenatal diagnosis at three hospitals. We organized prevention program in Hoa Binh province on national budget. The most important future planning is expanding prevention program in provinces with high prevalence and after that in the all country. Our future plan is to set up more thalassemia centres in provincial and central hospitals where overload with patient’s demand. We also launch for appeal for blood and iron chelation to patients with thalassemia. In near future, use of haplo SCT to treatment thalassemia patients will be more.",,,,,
AB061. Screening of thalassemia in the Philippines,"The absence of estimates of the affected population, resources for prevention, control, and management in the country is a growing public health concern in the Philippines.","C. Silao, T. D. F. Fabella, Ernesto d. J. Yuson, M. Naranjo, C. Padilla",,,,10.3978/J.ISSN.2305-5839.2015.AB061,,2015,1,https://doi.org/10.3978/J.ISSN.2305-5839.2015.AB061,https://semanticscholar.org/paper/d46a8cd07e9ae9ba9069179401fa2c31ecacf4ce,"Background and objective

The thalassemias are autosomal recessive disorders which result in reduced production of one or more subunits of hemoglobin. They are a growing public health concern. Prognosis is improving, however, there is a lack of estimates of the affected population, resources for prevention, control and management in the country. In light of recent findings on the severity and genetics of this inherited disorder, the authors aimed to summarize information on the epidemiology, screening, diagnostic procedures such as high performance liquid chromatography and genetic analysis of thalassemias in the Philippines.",,,,,
Clinico-epidemiological profile of thalassemia patients in a tertiary care center,Beta-thalassemia major is a serious illness.,"Madhuri Singh, R. Dayal, Sheo Pratap Singh, L. K. Gupta, M. Nayak, R. Sharma, Akriti Yadav",Pediatric Review: International Journal of Pediatric Research,,,10.17511/ijpr.2019.i09.08,https://pediatrics.medresearch.in/index.php/ijpr/article/download/528/1027,2019,1,https://doi.org/10.17511/ijpr.2019.i09.08,https://semanticscholar.org/paper/98f70f0418114ff7ac55602e4ba0a1ec94711669,"Introduction: Thalassemias are inherited blood disorders characterized by abnormal hemoglobin production. There are two main types, alpha thalassemia, and beta-thalassemia. Beta Thalassemia Major (also called Cooley's Anemia) is a serious illness. Symptoms appear in the first two years of life and include paleness of the skin, poor appetite, irritability, and failure to grow. There is absent or decreased production of normal hemoglobin, resulting in microcytic anemia of varying degrees. The thalassemias have a distribution concomitant with areas where P. falciparum malaria is common. The alpha thalassemias are concentrated in Southeast Asia, Malaysia, and southern China. The beta thalassemias are seen primarily in the areas surrounding the Mediterranean Sea, Africa, and Southeast Asia. Proper treatment includes routine blood transfusions and other therapies which can lead to iron overload and contraction of infections such as HIV, HCV, and HBV shortening the life span of patients. On the other hand, inadequate transfusions may lead to severe anemia and debility. Material and Methods: This retrospective record-based cross-sectional study was conducted in S.N. Medical College, Agra. Results: In our tertiary center, we have 103 registered patients of thalassemia, in which 44 are females and 59 are males. Out of the 103 thalassemia cases, 95 (92.2%) belonged to beta-thalassemia major, 4(3.8%) of beta-thalassemia intermediate, and 1 (0.9%) of beta-thalassemia minor category. Fever was the most common presenting symptom. Pallor and hepatomegaly were the most common signs among cases. Conclusion: Hemoglobinopathies are the commonest hereditary disorders in India and pose a major health problem. The data on the prevalence of β-thalassemias and other hemoglobinopathies in different caste/ethnic groups of India is scarce.",,,,,
Thalassemia Disorders in the Adolescent Female,Blood transfusion remains the mainstay treatment for the severe disease forms.,"Stephanie A. Fritch Lilla, Sylvia T. Singer, Elliott P. Vichinsky",,,,10.1007/978-3-030-48446-0_19,,2020,,https://doi.org/10.1007/978-3-030-48446-0_19,https://semanticscholar.org/paper/336f9e6f0fcb3f06a8410c67ec02ad53407efb52,"The thalassemias are an inherited group of disorders caused by absent or abnormal globin chain synthesis and insufficient hemoglobin production resulting in moderate to severe anemia. Curative treatment with bone marrow transplant or gene therapy and more recent treatment advances are limited to a small number of patients. Thus, blood transfusion remains the mainstay of treatment for the severe disease forms. Resultant excess transfusional iron requires lifelong iron chelation therapy and, if not effectively removed, causes deleterious effects on the heart, liver, and endocrine organs.",,,,,
"The pattern of thalassemia in children at the Department of Child Health, School of Medicine University of North Sumatera/Dr. Pirngadi Hospital, Medan.",The predominant age group was 0-2 years.,"S. Sinulingga, I. F. Loebis, A. Sutjipto",Paediatrica Indonesiana,,0.112 (24194),10.14238/PI31.9-10.1991.261-7,https://paediatricaindonesiana.org/index.php/paediatrica-indonesiana/article/download/2130/1850,2019,,https://doi.org/10.14238/PI31.9-10.1991.261-7,https://semanticscholar.org/paper/08940d63828a241fdd2cb242eedad36cbaf63e8b,"A study of the characteristics of childhood thalassemia was conducted at the Sub Department of Pediatric Hematology, Dr. Pirngadi Hospital from June 1979 to May 1989. There were 131 cases, consisting of 75 (57.25%) boys and 56 (42.75%) girls with an average of 12 admission every year. The predominant age group was 0-2 years, and the youngest was 3 months old. Javanese ethnic group appeared predominant in 36 (63.15%) cases. Clinical symptoms of anemia were found in 112 (85.49%), hepatomegaly in 91 (69.46%), hepatosplenomegaly in 84 (64.12%), without enlargement of organ in 17 (12.97%), and icterus in 6 (4.58%). Hb-Electrophoresis was done in 42 cases, revealing 26 (61.90%) with thalassemia major, 15 (35.71%) Hb E thalassemia, and 1 (2.20%) Hb H thalassemia. Hb value at the first admission in 65 (49.62%) was less than 5 g/dl, in 63 (48.09%) it was 5-10 g/dl and in 3 (2.29%) more than 10 g/dl.",,,,,
Survey of hemoglobinopathies in Central Vietnam: Identification of a novel β-globin gene mutation (HBB:c.-122T>A),Unpaired globin chains are unstable.,"M. Pirastru, L. Manca, C. Nguyen, P. Mereu",,,,,,2019,1,,https://semanticscholar.org/paper/2d6e974a35a7b9310da302041ae3d27c1ad68a89,"The thalassemias, together with sickle cell disease (HBB: c. 20A>T), are the world ? s most common form of inherited anemia. The myriad manifestations of thalassemia result from the imbalanced synthesis of ? -like and non-? -like globin chains and from the accumulation of unpaired counterpart. Unpaired globin chains are unstable: they form intracellular aggregates which are insoluble and precipitate causing decreased deformability, membrane damage and selective removal of the damaged cell. Ineffective erythropoiesis and shortened red cell survival will lead to chronic anemia.",,,,,
The medical concerns of patients with thalassemias at the time of COVID-19 outbreak: The personal experience and the international recommendations,Patients with thalassemias at the time of COVID-19 outbreak had medical concerns.,"D. Canatan, V. De Sanctis",Acta bio-medica : Atenei Parmensis,,,10.23750/abm.v91i2.9533,,2020,5,https://doi.org/10.23750/abm.v91i2.9533,https://semanticscholar.org/paper/94b7f18882c646f3c311de9d40ad63523cd71d9b,.,,,,,
Thalassemia in Asia 2021 Thalassemia in Brunei Darussalam,"The most reported diagnoses are -thalassemia trait, -thalassemia trait, heterozygous Hb E (HBB: c.79G>A)/-thal, -thal major, and -thal intermedia in Brunei.","Seow-Chin Chong, Sofian Metassan, Noorainun Yusof, R. Idros, Norehan Johari, I. Zulkipli, Hazim Ghani, Mei-Ann Lim, Surita Taib, Z. Lu, Mas R W Abdul-Hamid",Hemoglobin,,0.261 (16061),10.1080/03630269.2021.2008959,,2022,,https://doi.org/10.1080/03630269.2021.2008959,https://semanticscholar.org/paper/aca67b7940be7637040e0014f9f07b8b65ede27c,"Abstract Acknowledging and understanding the extent of thalassemia and hemoglobinopathy issues in a country is crucial for the benefit of implementing a national preventive and control program to reduce its prevalence. In order to obtain reliable prevalence data, the gene frequencies of the thalassemias and other hemoglobinopathies should be investigated. Molecular studies on thalassemia have yet to be done for Brunei’s population. It was estimated that carriers of thalassemia or hemoglobinopathies in Brunei is approximately 5.0% or less of the overall population. There are about 200 current cases of thalassemia and other hemoglobinopathies including adults and children reported across all four districts of Brunei. Blood parameter analysis, microscopy, hemoglobin (Hb) electrophoresis and high performance liquid chromatography (HPLC) are the most common methods of investigation in aiding diagnosis in the hospital laboratory. Genotyping analysis conducted in an overseas laboratory has been employed to confirm some diagnosis. Compiled data from 2009-2017 at the Hematology Laboratory of the Raja Isteri Pengiran Anak Saleha Hospital, Jalan Putera Al-Muhtadee Billah, Bandar Seri Begawan, Brunei Darussalam, showed that the most reported diagnoses are α-thalassemia (α-thal) trait, β-thalassemia (β-thal) trait, heterozygous Hb E (HBB: c.79G>A)/β-thal, β-thal major (β-TM) and β-thal intermedia (β-TI). The data reported indicate the importance of establishing a thalassemia registry with relevant data on patients and patient outcomes as a tool for monitoring and improving patient care.",,,,,"• α thalassemia (α thal) trait
• β thalassemia (β thal) trait
• heterozygous Hb E (HBB: c.79G>a)/β thal
• β thal major (β TM)
• β thal intermedia (β TI)"
"Clinical Classification, Screening and Diagnosis for Thalassemia.","The definitive diagnosis of thalassemia and hemoglobinopathies requires a comprehensive workup from complete blood count, hemoglobin analysis, and molecular studies to identify mutations of globin genes.","Vip  Viprakasit, Supachai  Ekwattanakit",Hematology/oncology clinics of North America,,0.903 (4780),10.1016/j.hoc.2017.11.006,,2018,55,https://doi.org/10.1016/j.hoc.2017.11.006,https://semanticscholar.org/paper/a859ef7a1222709577d20acac403b2e323831180,"At present, thalassemia diseases are classified into transfusion-dependent thalassemia and non-transfusion-dependent thalassemia. This classification is based on the clinical severity of patients determining whether they do require regular blood transfusions to survive (transfusion-dependent thalassemia) or not (non-transfusion-dependent thalassemia). In addition to the previous terminology of ""thalassemia major"" or ""thalassemia intermedia,"" this classification has embraced all other forms of thalassemia syndromes such as α-thalassemia, hemoglobin E/β-thalassemia and combined α- and β-thalassemias. Definitive diagnosis of thalassemia and hemoglobinopathies requires a comprehensive workup from complete blood count, hemoglobin analysis, and molecular studies to identify mutations of globin genes.",,,,,"• transfusion dependent thalassemia
• non transfusion dependent thalassemia"
Evaluation of intervention strategy of thalassemia for couples of childbearing ages in Centre of Southern China,Free thalassemia intervention strategy for childbearing couples in Guangzhou.,"F. Jiang, Liandong Zuo, Jian Li, Gui-lan Chen, Xuewei Tang, Jian-ying Zhou, Yan-xia Qu, Dongzhi Li, C. Liao",Journal of clinical laboratory analysis,,0.546 (9171),10.1002/jcla.23990,https://europepmc.org/articles/pmc8529143?pdf=render,2021,2,https://doi.org/10.1002/jcla.23990,https://semanticscholar.org/paper/a8347dedf6d6e815915812c1b61e9737805c8c0f,To describe the free intervention strategy of thalassemia for childbearing couples in Guangzhou.,,,,,
"Molecular Epidemiological Investigation of Thalassemia in the Chengdu Region, Sichuan Province, Southwest China",Thalassemia is the most common inherited disease in southern China.,"Xia Yu, Li-ye Yang, Huitian Yang, Cheng-Gui Liu, Dengxiu Cao, Wei-Tao Shen, Huitian Yang, Xiao-fen Zhan, Jian Li, Bing-Rong Xue, Min Lin",Hemoglobin,,0.261 (16061),10.3109/03630269.2015.1070733,,2015,17,https://doi.org/10.3109/03630269.2015.1070733,https://semanticscholar.org/paper/c342436c57d98d02bb00269e6e84e127646c5686,"Abstract Thalassemia is the most common inherited disease in southern China. However, this disorder is usually ignored by the health system in the Sichuan Province due to the lack of epidemiological data. To provide basic epidemiological data for thalassemia screening, genetic counseling, and prenatal diagnosis (PND) in the Chengdu region, a total of 3262 healthy subjects were assessed by complete blood count (CBC), reverse dot-blot gene chip, gap-polymerase chain reaction (gap-PCR), and PCR-DNA sequencing. A frequency of heterozygous thalassemia of 3.43% (112/3262) was found, of which 2.21% (72/3262) patients carried α-thalassemia (α-thal), 1.19% (39/3262) β-thalassemia (β-thal) and 0.3% (1/3262) hereditary persistence of fetal hemoglobin (Hb) (HPFH)/δβ-thalassemia (δβ-thal). Four types of α-thal mutations were found, the most prevalent being – –SEA (68.06%), followed by −α3.7 (rightward deletion, 25.0%), Hb Quong Sze (Hb QS; HBA2: c.377 T > C) (4.17%), and −α4.2 (leftward deletion, 2.78%). The seven β-thal mutations included: codons 41/42 (−TTCT), HBB: c.126_129delCTTT (13/39, 33.33%); codon 17 (A > T), HBB: c.52 A > T (11/39, 28.95%); IVS-II-654 (C > T), HBB: c.316-197 C > T (9/39, 23.68%); −28 (A > G), HBB: c. –78 A > G (3/39, 7.69%); −29 (A > G), HBB: c. –79 A > G (1/39, 2.56%); codons 27/28 (+C), HBB: c.84_85insC (1/39, 2.56%), and the rare IVS-II-850 (G > T), HBB: c.316-1 G > T (1/39, 2.56%). Only one case of the Southeast Asian HPFH deletion was found. This is the first detailed molecular epidemiological survey of thalassemia in the Chengdu region, Sichuan Province, People’s Republic of China (PRC).",,,3262,,"• frequency of heterozygous thalassemia
• the types of α thalassemia mutations
• the β thalassemia mutations"
Thalassemia Distribution Based on Screening Programs in the Population of the East Malaysian State of Sabah,Thalassemia is prevalent in the indigenous population of Sabah.,"Lailatul Hadziyah Mohd Pauzy, E. Esa, Nizmah Mahani Mokhri, Y. Yusoff, Nurul Amira Jamaludin, Z. Zakaria",,,,10.4172/2155-9864.1000395,https://doi.org/10.4172/2155-9864.1000395,2018,8,https://doi.org/10.4172/2155-9864.1000395,https://semanticscholar.org/paper/be6df67b01aed4cc9c60a7c751c4f913e3d80f07,"Objective: The aim of the study is to examine the distribution of thalassemia in the indigenous population of Sabah where thalassemia is most prevalent in Malaysia based on screening programs carried out at the public health centers.

Method: A total of 645 blood samples were obtained from all over Sabah for thalassemia screening in the month of May 2013. High performance Liquid Chromatography and Capillary Electrophoresis were used for analyzing the hemoglobin subtypes.

Result: 94% of the total sample came from voluntary screening offered at primary care level and various government-promoted programs while the other 6% were cascade screening. The study included patients from the age of 1 to 73 years old. The majority (97%; 624/645) were indigenous people and 94% of the total sample came from voluntary screening offered at primary care level via various government promoted programs. 82% were female, mostly screened during their antenatal visit. 30% (193/645) of the sample were tested positive for; β-Thalassemia trait (78%; 151/193), HbE trait (10%; 20/193), Homozygous HbE (2%; 4/193) and other haemoglobinopathies (7%; 13/193). The other 3% (5/193) of the abnormal results were inconclusive hence would require further molecular analysis. Among all the indigenous people screened, the Kadazandusuns had the highest occurrence of haemoglobinopathies (35%; 87/250), followed by the Muruts (33%; 15/45), Malays (29%; 19/65), other races (26%; 46/180) and the Bajau people (23%; 19/84).

Conclusion: Thalassemia is prevalent in the indigenous population of Sabah and most people are asymptomatic. Government health clinics play a crucial role in promoting greater awareness of the disease via campaigns and screening programs as they are easily accessible and oftentimes are the first point of contact with the community.",,,645,,"• distribution of thalassemia in the indigenous population of Sabah
• the prevalence of thalassemia in the indigenous population of Sabah"
"Prevalence of thalassemia carriers among the Lahu hill tribe population, Chiang Rai, Thailand",Provision of thalassemia screening in health care settings in remote areas of Thailand is an ongoing need.,T. Apidechkul,,,,10.5372/1905-7415.0904.423,,2015,7,https://doi.org/10.5372/1905-7415.0904.423,https://semanticscholar.org/paper/2f4f891bc0614fa69b5e43efb9ba40ea1be74dcc,"Abstract Background Current data on the prevalence of hemoglobinopathies among Lahu in northern Thailand are limited. Objective To investigate the prevalence of thalassemia carriers among Lahu hill tribe people in Chiang Rai Province, Thailand. Materials and Methods We conducted a cross-sectional study in 2 phases. The first retrospectively analyzed data from antenatal clinics attended by Lahu women between January 2011 and June 2012. The second phase was prospective and included the husbands of Lahu women. In the second phase, 116 Lahu adults were administered a questionnaire and blood tests for osmotic fragility (OFT) and dichlorophenol indophenol precipitation (DCIP). The hemoglobin (Hb) type of those positive for either or both tests was identified by HPLC and PCR. Results Data from 358 Lahu women in the first phase showed a mean age of 23.2 y (range 13-46 y, SD 6.83), 68.5% were primigravida. Fifty-eight had abnormal mean corpuscular volume (MCV), 87 positive OFT, 18 positive DCIP test, and 3.0% positive results in both tests. Eight of 83 participating husbands had abnormal MCV, 8 positive OFT and 2 positive DCIP test. In the second phase, 52.2% of 116 participants were women, mean age of 33.7 y (range 18-68 y, SD 11.2), 38 positive OFT, 10 positive DCIP test, and 3.7% positive results in both tests. Hb typing showed 5 participants with HbE, 1 β-thalassemic, 1 HbE homozygous, and no α-thalassemia-1 (SEA) was identified. Conclusion Provision of a thalassemia screening in health care settings in remote areas of Thailand is an ongoing need.",,,558,,"• prevalence of thalassemia carriers among Lahu hill tribe people in Chiang Rai Province, Thailand"
"Status research Thalassemia carier among children of ethnic Tay, Dao in Tuyen Quang province",The general prevalence of thalassemia gene among the Tay and Dao children in Tuyen Quang is 28.1%.,"Thi-Thu-Hang Do, Quang Thanh Pham, Phuong Thuy Ho",Journal of Health and Development Studies,,,10.38148/jhds.0503skpt21-017,,2021,,https://doi.org/10.38148/jhds.0503skpt21-017,https://semanticscholar.org/paper/96c3a67cab35b6e9ba5378ddfc0c82a71b33a9e1,"Objectives: To determine the prevalence of thalassemia carrier, genotype and hematological parameters among children bearing the thalassemia gene in Tuyen Quang. Methodology: A descriptive study was conducted from January to March 2017. 505 ethnic minority children in 6 districts and Tuyen Quang City, Tuyen Quang province were registered voluntarily by the family in the study. MCV index <80fL combined with the DCIP test were used for screening thalassemia and HbE. Hemoglobin electrophoresis and DNA analysis of mutations in the globin alpha gene was performed for all cases positive with screening tests. Results: The prevalence of thalassemia common for ethnic minority children in Tuyen Quang was 28,1%. Four types of single-gene mutations in the alpha globin gene were identified, following types --SEA, -α3.7; -αCS; -α4.2. Conclusion: The general prevalence of thalassemia gene among the Tay and Dao children in Tuyen Quang is 28.1%. Six phenotypic groups carrying thalassemia gene were detected with 10 mutant genotypes. Mutation - SEA accounts for the highest proportion of single allele mutations (72.09%). Keywords: Thalassemia carrier, children, ethnic Tay, ethnic Dao, Tuyen Quang",,,"505 ethnic minority children in 6 districts and Tuyen Quang City, Tuyen Quang province",,"• prevalence of thalassemia carrier
• the genotype
• the hematological parameters"
Thalassemia in Asia 2021 Overview of Thalassemia and Hemoglobinopathies in Bangladesh,Thalassemia is a major health problem in Bangladesh.,"M. Chowdhury, Razia Sultana, Dhananjoy Das",Hemoglobin,,0.261 (16061),10.1080/03630269.2021.2008957,,2022,1,https://doi.org/10.1080/03630269.2021.2008957,https://semanticscholar.org/paper/94d3d1cf4bed686a78bfcd984954277c960756db,"Abstract Bangladesh is a country with a population of 160 million with a gross national income per capita of US$1580.00. The major health problems in Bangladesh include acute respiratory infection, pneumonia, dengue fever, malaria and water-borne diseases. The health care system in Bangladesh is divided into primary secondary and tertiary levels, with each level having their own breakdown of available hospital beds and other treatment facilities. Thalassemia is a major health problem in Bangladesh. There are two types of thalassemia in Bangladesh: β-thalassemia (β-thal) and Hb E (HBB: c.79G>A)/β-thal, with the prevalence rate of β-thal trait being 4.1% and Hb E trait 6.1%. This study discusses spectrum types of thalassemia and hemoglobinopathies in Bangladesh and the types of carrier detection. The distribution of common mutations of thalassemia are also discussed and the distribution frequencies of genotypes and alleles of β-thal and Hb E patients are also compared. Additionally, we also conducted a study of the spectrum of thalassemia using high performance liquid chromatography (HPLC) of the tribal populations and analyzed the findings in our discussion. The results of these studies show that the phenotypic and genotypic presentation in Bangladesh is highly diverse. To properly understand this, we have to conduct an epidemiological survey of the population. Furthermore, there also has to be improvement on the awareness of thalassemia among the population to properly equip themselves to survive this disease.",,Review,,,
A clinico-epidemiological study of thalassemia cases in India,The most common presenting symptom among thalassemia cases was fever.,"N. Joseph, Siddharth Pai, S. Sengupta, S. Bharadwaj, Saksham Dhawan, Kanishk Khare",,,,10.4103/JNSBM.JNSBM_224_17,,2018,7,https://doi.org/10.4103/JNSBM.JNSBM_224_17,https://semanticscholar.org/paper/d335cb0167f1591fa01656ccfa85e3298abb35ba,"Introduction: Thalassemia is the most common single-gene disorder in India. Hence, care of these patients becomes a priority issue. Objectives: This study was done to assess the clinical presentations and management practices in thalassemia. Materials and Methods: Case sheets of patients with thalassemia admitted over the past 10 years from 2005 to 2014 were examined and recorded in a validated pro forma. Results: Of the total 183 cases, 179 (97.8%) were of beta thalassemia major, 3 (1.6%) of beta thalassemia intermediate, and 1 (0.6%) of beta thalassemia minor category. The median age at diagnosis was 1 year. Hardly, one-fourth of the cases were diagnosed in the first 6 months. Majority of cases were under-fives 58 (31.7%) and were males 116 (63.4%). Fever was the most common presenting symptom 34 (18.6%). Pallor 179 (97.8%) followed by hepatomegaly 172 (94%) were the most common signs. Bone deformities were reported in 13 (7.1%) cases. Among the under-fives, more than one-third were underweight and more than half were stunted. The mean posttransfusion value of hemoglobin after 1 year of transfusion among cases was 10 ± 1.6 g percent. Iron chelation therapy using desferrioxamine was given to 51 (27.9%) cases. The mean age of starting this therapy was 11.1 ± 8.2 years. Splenectomy was done in 4 cases, all of them being cases of beta thalassemia major. The mean age while performing splenectomy was 10.7 ± 4.8 years. Lenticular opacity was present among greater proportion of thalassemia cases on treatment with desferrioxamine (P = 0.022). Conclusion: Several complications were identified among thalassemia cases. A multidisciplinary care approach is therefore required for solving these problems.",,,183,,• clinical presentations and management practices in thalassemia
Combined Gap-Polymerase Chain Reaction and Targeted Next-Generation Sequencing Improve α- and β-Thalassemia Carrier Screening in Pregnant Women in Vietnam.,Combining NGS with gap-PCR creates an effective large-scale thalassemia screening method.,"Tuan T. Lam, Doan-Tu Nguyen, Quang-Thanh Le, Duy-Anh Nguyen, Diem-Tuyet Thi Hoang, Huu Du Nguyen, Canh Chuong Nguyen, Kim Phuong Thi Doan, Nhat-Thang Tran, T. Ha, Thu-Huong Nhat Trinh, V. T. Nguyen, Duc Tam Lam, M. Le, Xuan Thao Nguyen, Thu-Hang T. Ho, Trung Hoanh Tran, V. T. Ho, Thanh Van Bui, Van Trong Nguyen, Phuoc Ba Hoang, Hoai Thanh Nguyen, Manh Hoan Nguyen, T. Vo, Duy-Khang Nguyen Le, Thao Ngoc Truong, H. Dao, Phuong-Anh Ngoc Vo, T. Nguyen, Ngoc T B Tran, Quynh Thi Thuy Tran, Yen-Linh Thi Van, T. Nguyen, Bich-Ngoc Thi Huynh, T. Nguyen, Kim-Van Thi Tran, Cong-Trai Nguyen, Phuoc-Loc Doan, Thanh-Dat Nguyen, T. T. Do, D. Truong, Hung-Sang Tang, Ngoc-Phuong Thi Cao, M. Phan, H. Giang, H. Nguyen",Hemoglobin,,0.261 (16061),10.1080/03630269.2022.2096461,,2022,,https://doi.org/10.1080/03630269.2022.2096461,https://semanticscholar.org/paper/2414f97e04d5e64613eb3c0b2a7f729da75ed904,"Vietnam has a high thalassemia burden. We collected blood samples from 5880 pregnant Vietnamese women during prenatal health checks to assess thalassemia carrier frequency using combined gap-polymerase chain reaction (gap-PCR) and targeted next-generation sequencing (NGS). Thalassemia carriers were identified with prevalence of 13.13% (772), including 7.82% (460) carriers of α-thalassemia (α-thal), 5.31% (312) carriers of β-thalassemia (β-thal), and 0.63% (37) concurrent α-/β-thal carriers. Deletional mutations (368) accounted for 80.0% of α-thal carriers, of which, --SEA (Southeast Asian) (n = 254; 55.0%) was most prevalent, followed by the -α3.7 (rightward) (n = 66; 14.0%) and -α4.2 (leftward) (n = 45; 9.8%) deletions. Hb Westmead (HBA2: c.369C>G) (n = 53) and Hb Constant Spring (Hb CS or HBA2: c.427T>C) (in 28) are the two most common nondeletional α-globin variants, accounting for 11.5 and 6.0% of α-thal carriers. We detected 11 different β-thal genotypes. Hb E (HBB: c.79G>A) (in 211) accounted for 67.6% of β-thal carriers. The most common β-thal genotypes were associated with mutations at codon 17 (A>T) (HBB: c.52A>T), codons 41/42 (-TTCT) (HBB: c.126_129delCTTT), and codon 71/72 (+A) (HBB: c.217_218insA) (prevalence 0.70%, 0.68%, and 0.2%, respectively). Based on mutation frequencies calculated in this study, estimates of 5021 babies in Vietnam are affected with clinically severe thalassemia annually. Our data suggest a higher thalassemia carrier frequency in Vietnam than previously reported. We established that combining NGS with gap-PCR creates an effective large-scale thalassemia screening method that can detect a broad range of mutations.",,,5880,,"• prevalence of α thalassemia, β thalassemia, and concurrent α /β thalassemia carriers among pregnant Vietnamese women"
The Evolving Spectrum of the Epidemiology of Thalassemia.,Thalassemias and other inherited disorders of hemoglobin are likely to remain a serious global health problem for the foreseeable future.,David J Weatherall,Hematology/oncology clinics of North America,,0.903 (4780),10.1016/j.hoc.2017.11.008,https://ora.ox.ac.uk/objects/uuid:b54579ca-1a70-4d78-91fb-0e7eaaadecd4/files/m0997d79b3dfa0fe5faff68451a2fc2ce,2018,41,https://doi.org/10.1016/j.hoc.2017.11.008,https://semanticscholar.org/paper/964c48544fff4c49c324f008e6521f546223a7d5,"The thalassemias and other inherited disorders of hemoglobin are likely to remain a serious global health problem for the foreseeable future. Currently, they are most frequent in the tropical belt; an assessment of their true frequency and the likely cost of management for the governments of these countries will require a form of micromapping. Over recent years, there has been major progress toward better prevention and management of the thalassemias in richer countries; it is likely that, using the tools of molecular genetics, they will eventually be completely curable, although this is probably a long time in the future.",,,,,
Prevalence of Thalassemia among Newborns: A Re-visited after 20 Years of a Prevention and Control Program in Northeast Thailand,"-thalassemia, -thalassemia, and Hb E carriers are still prevalence in northeast Thailand.","A. Chaibunruang, Kanda Sornkayasit, Mattanee Chewasateanchai, Peerayoot Sanugul, G. Fucharoen, S. Fucharoen",Mediterranean Journal of Hematology and Infectious Diseases,,0.524 (9550),10.4084/MJHID.2018.054,https://www.mjhid.org/index.php/mjhid/article/download/2018.054/pdf,2018,13,https://doi.org/10.4084/MJHID.2018.054,https://semanticscholar.org/paper/4b65c78ea1a176ff6eb581f889034e4e3b922a45,"Background To provide accurate prevalence information of thalassemia in northeast Thailand, authors performed thalassemia screening in newborns after 20 years implementation of a prevention and control program. Methods Study was done on 350 cord blood specimens collected consecutively at Maternal and Child Hospital, Regional Health Promotion Center 7, Khon Kaen, Thailand. All kinds of α- and β-thalassemias were identified using combined hemoglobin (Hb) and DNA analyses. Results Among 350 newborns examined, subjects with thalassemia genes were identified in 184 (52.6%) cases with as many as 22 different genotypes. The most prevalent one was Hb E (39.1%). The incidence of 3.1% α0-thalassemia, 25.9% α+-thalassemia, 5.4% Hb Constant Spring and 1.4% of Hb Paksé were encountered. Heterozygous β-thalassemia was found in 2 cases (0.6%). Hb capillary electrophoresis could demonstrate Hb E in all cases with Hb E and detected different levels of Hb Bart’s for different α-thalassemia genotypes but not in all cases with α-thalassemia. No newborn with severe thalassemia diseases was encountered. Conclusion This study reveals that α-thalassemia, β-thalassemia, and Hb E carriers as well as complex thalassemia syndromes are still prevalence and indicates a need for continuing a prevention and control program in the region.",,,350,,• prevalence of thalassemia among newborns in northeast Thailand
